Station Name, Latitude, Longitude
Tamalanrea First Mile Hub, -5.10331, 119.48121
Taktakan First Mile Hub, -6.097375, 106.133426
Tabunganen Hub, -3.411932, 114.490122
Susukan Kab. Banjarnegara First Mile Hub, -7.450879, 109.471206
Sungai Tabuk First Mile Hub, -3.325389, 114.702917
Sumedang Selatan First Mile Hub, -6.836445, 107.917067
Sukorejo First Mile Hub, -7.76209, 112.737642
Wonosobo 4 First Mile Hub, -7.366995, 109.918797
Sukoharjo Kab. Pringsewu First Mile Hub, -5.277583, 104.983801
Sukmajaya 3 Hub, -6.437568, 106.820144
Sukawati First Mile Hub, -8.600037, 115.268548
Sukasada First Mile Hub, -8.140611, 115.093
Sukaresmi Kab. Cianjur First Mile Hub, -6.733003, 107.084079
Subah First Mile Hub, -6.950944, 109.828639
Sragen 2 Hub, -7.419997, 111.029309
Sragen 2 First Mile Hub, -7.419997, 111.029309
Songgom First Mile Hub, -7.028746, 108.990942
Socah Hub, -7.056804, 112.72945
Silo First Mile Hub, -8.179781, 113.865138
Siantar Sitalasari First Mile Hub, 2.951142, 99.043316
Semparuk Hub, 1.187943, 109.08356
Semen First Mile Hub, -7.838423, 111.979231
Sangir Balai Janggo Hub, -1.430547, 101.405864
Samarinda Kota First Mile Hub, -0.495262, 117.154526
Samalanga First Mile Hub, 5.186792, 96.370429
Salopa First Mile Hub, -7.530195, 108.277954
Sajira First Mile Hub, -6.432047, 106.340454
